Bank_Name,Year,Quarter,Capital_Adequacy_Ratio,Non_Performing_Loans_Ratio,Liquidity_Coverage_Ratio,Return_on_Assets,Loan_to_Deposit_Ratio,Net_Interest_Margin,Operational_Efficiency_Ratio,Went_Defunct
Central Mountain Bank,2000,1,6.99,6.59,76.48,0.52,96.49,0.88,95.79,Yes
First Mountain Bank,2000,1,13.53,1.53,125.43,1.77,65.34,3.12,30.87,No
United River Trust,2000,1,8.55,1.44,109.87,2.16,60.92,2.29,64.66,No
National State Bancorp,2000,1,11.55,2.07,105.75,1.73,71.11,2.42,53.76,No
National Coast Financial,2000,1,4.8,6.12,63.98,0.85,99.8,0.47,88.23,Yes
Regional State Bancorp,2000,1,9.56,2.21,100.4,1.34,71.97,3.37,51.71,No
Metropolitan Mountain Credit,2000,1,11.77,1.7,105.21,1.64,65.39,3.53,53.44,No
Regional America Financial,2000,1,8.47,2.32,116.15,1.66,76.12,3.52,59.31,No
Community Valley Credit,2000,1,10.32,1.69,123.31,2.49,65.21,2.91,38.94,No
Metropolitan Plains Credit,2000,1,9.61,2.81,133.56,1.96,80.04,3.18,43.55,No
Regional Plains Financial,2000,1,6.72,11.61,69.64,0.56,60.7,1.41,80.87,Yes
Community State Financial,2000,1,11.4,2.09,100.12,1.89,73.57,3.74,44.82,No
Regional Plains Bank,2000,1,10.38,1.5,129.15,2.16,64.7,3.26,50.97,No
First Mountain Credit,2000,1,13.94,1.3,116.72,1.8,55.36,3.15,52.61,No
First America Trust,2000,1,12.01,1.77,105.85,1.79,66.57,2.6,48.39,No
Regional Plains Bancorp,2000,1,12.81,3.89,121.75,2.13,69.26,2.04,49.73,No
National State Bank,2000,1,12.12,4.46,118.08,2.15,69.65,2.42,61.43,No
National Plains Bancorp,2000,1,7.5,9.37,60.91,0.4,78.97,1.29,101.9,Yes
First Coast Bank,2000,1,10.02,1.43,121.0,1.75,54.49,3.03,39.38,No
Regional America Credit,2000,1,12.95,1.08,135.5,1.61,66.78,3.41,37.69,No
Metropolitan State Bank,2000,1,12.45,3.31,103.93,2.09,72.6,3.39,37.63,No
National Plains Financial,2000,1,9.36,2.52,122.97,2.13,73.46,2.66,52.32,No
National America Bancorp,2000,1,12.59,1.29,138.66,2.24,58.09,3.33,40.25,No
Metropolitan River Financial,2000,1,13.57,3.16,111.79,2.48,74.13,3.41,68.97,No
National Coast Financial,2000,1,11.51,1.25,111.1,1.59,69.23,3.17,52.77,No
United River Financial,2000,1,13.65,2.01,134.54,1.87,97.2,3.31,41.43,No
Central Coast Bank,2000,1,9.86,2.48,117.77,2.36,74.73,2.96,41.53,No
Community State Credit,2000,1,8.97,1.55,128.56,2.11,57.54,3.09,53.85,No
First Valley Financial,2000,1,4.23,7.46,70.58,-2.14,105.37,1.28,90.83,Yes
Metropolitan Plains Bancorp,2000,1,8.11,2.87,60.62,-0.48,107.71,1.26,118.53,Yes
Metropolitan Valley Credit,2000,1,7.14,10.41,79.54,-0.35,95.27,1.38,72.27,Yes
Metropolitan America Bancorp,2000,1,11.53,1.51,120.82,3.16,51.33,3.34,33.87,No
United America Bancorp,2000,1,11.06,3.09,120.64,1.46,62.85,3.34,42.7,No
First America Financial,2000,1,12.43,2.05,113.48,3.07,76.34,1.99,51.86,No
United Plains Bancorp,2000,1,10.68,2.85,112.07,1.94,75.05,3.43,38.0,No
Central Coast Credit,2000,1,11.33,1.53,113.47,2.88,74.05,2.37,59.18,No
Community State Bank,2000,1,16.24,3.03,104.81,1.76,82.67,2.65,54.44,No
Community America Trust,2000,1,13.55,1.07,119.4,0.38,59.76,2.87,37.52,No
Metropolitan Plains Financial,2000,1,15.26,0.57,115.6,2.07,84.41,2.28,61.63,No
Central Coast Financial,2000,1,12.02,1.02,124.62,2.1,64.0,3.03,46.15,No
Central River Credit,2000,1,12.23,2.66,135.86,1.38,91.33,2.02,48.48,No
Central State Bank,2000,1,13.18,2.28,113.77,1.9,65.07,2.71,58.5,No
National America Bank,2000,1,12.71,1.31,129.0,2.15,78.13,3.31,41.71,No
Community River Bank,2000,1,10.88,2.75,126.1,1.99,71.17,3.64,44.08,No
United Valley Financial,2000,1,13.09,1.8,117.82,2.55,78.25,3.41,63.05,No
National America Financial,2000,1,12.04,2.68,116.9,2.16,68.7,3.05,55.95,No
Community State Bank,2000,1,4.36,13.28,59.94,-2.21,117.37,1.4,86.24,Yes
National River Financial,2000,1,13.26,1.99,111.03,2.04,63.23,3.49,48.53,No
First State Financial,2000,1,10.35,1.68,124.13,1.72,61.78,3.12,52.45,No
National America Credit,2000,1,4.99,5.59,72.32,-2.45,78.89,0.64,77.87,Yes
Regional Plains Trust,2000,2,6.62,11.43,78.58,-1.16,99.71,0.5,79.81,Yes
First State Trust,2000,2,11.42,2.32,111.73,2.26,85.33,2.95,54.02,No
Metropolitan River Bancorp,2000,2,13.38,1.6,122.24,2.01,70.98,2.61,50.25,No
Regional Valley Bancorp,2000,2,13.0,3.45,129.59,3.08,62.33,3.44,51.83,No
United Plains Bank,2000,2,16.38,1.19,111.6,1.7,48.76,2.74,42.41,No
First America Credit,2000,2,12.3,2.34,138.76,2.48,64.23,2.55,54.92,No
Community America Financial,2000,2,9.36,3.83,131.79,1.77,52.87,3.68,48.85,No
United State Bancorp,2000,2,14.48,0.41,114.01,2.0,70.47,2.77,56.23,No
Community Plains Financial,2000,2,9.86,1.86,121.2,2.26,77.12,2.44,34.66,No
United Coast Financial,2000,2,8.56,8.0,62.52,0.55,101.74,1.59,80.68,Yes
National America Financial,2000,2,16.12,3.76,117.51,2.49,76.45,3.68,40.35,No
Metropolitan Plains Trust,2000,2,13.37,3.06,102.41,1.41,49.61,2.87,57.18,No
Community Mountain Bank,2000,2,15.0,2.07,136.29,1.31,52.97,2.97,53.84,No
Central Mountain Trust,2000,2,11.93,0.0,119.11,1.35,76.7,3.18,40.6,No
United Mountain Financial,2000,2,10.97,0.94,119.37,2.48,60.14,3.25,44.7,No
Metropolitan Valley Bancorp,2000,2,10.41,1.89,109.65,1.72,58.02,3.98,50.35,No
Metropolitan Plains Bank,2000,2,10.6,2.21,118.88,1.89,76.14,3.38,44.69,No
United Valley Bancorp,2000,2,10.85,1.72,96.98,1.24,83.67,3.82,47.51,No
United River Credit,2000,2,13.15,2.31,150.79,2.56,68.72,2.52,33.94,No
United America Bancorp,2000,2,6.41,4.73,55.78,-1.65,83.78,1.84,88.82,Yes
National Coast Financial,2000,2,11.98,3.48,120.77,1.57,85.23,3.27,39.63,No
Metropolitan Coast Bancorp,2000,2,5.62,4.37,56.17,-0.07,128.64,0.3,85.63,Yes
First Valley Trust,2000,2,4.7,5.54,64.08,-1.86,100.73,0.58,82.7,Yes
Central State Trust,2000,2,11.9,1.76,110.92,1.71,77.55,3.25,40.22,No
Community Plains Financial,2000,2,12.2,2.75,103.31,2.27,63.37,3.29,42.37,No
Central State Credit,2000,2,8.39,0.37,120.48,2.13,60.96,3.32,33.38,No
First Coast Trust,2000,2,11.87,0.79,113.48,2.02,61.4,2.81,60.06,No
First Valley Financial,2000,2,10.85,2.84,108.7,2.26,84.42,1.76,42.03,No
First America Credit,2000,2,13.15,1.8,123.71,1.7,70.87,2.92,61.68,No
Community Coast Trust,2000,2,12.51,2.34,115.88,1.76,65.67,3.2,45.79,No
Metropolitan Coast Trust,2000,2,6.58,13.23,78.71,-1.33,118.02,0.8,59.62,Yes
United Mountain Trust,2000,2,9.98,0.13,116.48,2.01,86.76,3.16,47.81,No
Community Mountain Financial,2000,2,13.66,0.0,122.36,2.39,55.21,3.57,53.38,No
Central Valley Bancorp,2000,2,11.17,2.63,142.71,2.09,72.48,2.77,41.5,No
Metropolitan America Bancorp,2000,2,13.66,1.14,120.72,1.76,74.79,3.17,60.38,No
United Plains Bancorp,2000,2,10.98,1.73,110.21,1.78,73.77,3.38,40.78,No
First Coast Financial,2000,2,7.74,11.07,74.13,0.88,88.39,0.38,62.21,Yes
National Valley Financial,2000,2,8.99,8.96,69.44,-0.72,83.12,2.22,81.29,Yes
Community Valley Credit,2000,2,12.22,2.73,124.81,2.11,62.1,3.24,68.82,No
Metropolitan River Credit,2000,2,14.69,3.59,114.89,1.51,68.74,3.03,60.94,No
Community River Trust,2000,2,8.62,3.53,118.42,1.79,59.88,2.17,58.23,No
